True,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,target
0,0.6556413,0.03883978,-0.03396885,-0.5256816,0.06310701,0.335558,-0.3983061,-0.37646934,-1.03208,1.0322934,-2.1593895,0.2920742,0.27113008,0.33580682,-0.8626442,0.5918649,0.41261017,-0.38087654,1.0008934,-2.1430733,-0.5825277,0.612645,-1.7004327,1.3856924,0.34039578,0.5803594,0.36891204,0.8645014,0.9523416,-0.7694735,0.76932156,0.73106253,1.1685214,0.49502075,-0.34676582,0.08177163,0.38780838,-0.7487473,2.0594094,-0.5911883,0.50777715,-0.47591636,-0.29534838,-1.068177,-0.91468513,0.6305311,-0.5721107,0.3388412,-1.4140129,-0.8213098,0.3056741,0.4134069,0.7366298,1.1408895,1.1611887,1.2405019,-1.6442828,-1.9623908,1.492479,-0.84589374,-1.748001,-2.2582395,0.25008488,0.16015244,0.61332095,-0.5601594,-0.24095845,-0.2787742,-0.22332796,-0.43643108,0.5523195,0.44576684,0.05787869,0.6511548,-0.29359248,0.33866987,0.33769864,0.9697739,2.2800415,-0.33358034,0.25736517,-0.30756536,-0.8043983,0.21543787,1.1278417,-0.24661613,-0.012443844,-0.693341,-0.16184932,1.5004799,-0.28535146,0.94219303,-0.9198362,-0.6466513,0.5844001,-0.6826715,0.38128915,-0.9866045,0.8947644,-0.10547949,-0.7414555,2.1077852,-0.15296867,-0.58024186,-2.5962672,1.2305897,-1.6303449,-0.55381775,-1.3418417,-0.91247874,-0.23772393,1.4981489,-0.5745517,-1.2216218,1.3751559,0.84952414,0.54405236,0.38581622,-0.61382234,0.1690494,-0.6016183,-0.42053998,2.1288843,0.6360627,-0.18149252,1.3808696,2.543928,-0.13805905,djalma
1,-0.16750307,-0.08482435,-0.82503694,0.3601002,-0.6163779,1.6972303,0.072185606,-0.20494668,-0.061950356,0.26568776,-0.17837122,-0.6815581,0.42548144,0.34453422,-0.57824683,-0.38611692,1.0026252,-1.3177568,0.5203154,-1.040839,-0.24475478,-0.23465112,-1.1469434,-0.68066895,1.5994738,-1.822078,0.5424286,0.8757951,-0.77345645,-0.20535816,1.0998749,-0.8344396,2.0923858,-0.23859277,0.4858698,-0.5392612,0.36215916,-0.7525252,2.3296323,-1.0282986,0.17837206,0.6376243,-1.288561,-1.8186154,-0.9986966,-1.2301598,-0.9620977,0.2697206,0.080108315,-0.13334979,0.8097162,0.5342522,0.8214787,-0.5416881,0.616778,1.6713052,-0.058951233,-1.9677274,0.42171612,-0.39671412,0.59585816,-1.0952135,1.9676826,0.09945457,0.9426656,-1.4263716,-0.88642216,0.2365236,-0.80379456,-0.5382128,-0.00906987,0.078413874,-0.8164388,-1.3779026,0.1859589,0.691594,1.3982798,1.1264247,2.0147846,0.59098184,0.16813385,1.1103231,0.4793044,0.6648904,1.2089943,-0.008286521,1.0947253,-0.7112277,-1.6218494,1.2437682,-0.34179378,0.880237,-0.81114334,1.703158,-0.3714509,-0.3843446,-0.5963236,-0.3700203,-0.1666188,1.4075682,0.077896915,1.785971,1.062132,0.2602927,-0.6403597,0.45347726,-1.9897733,-0.042198524,-1.8771474,-1.5818243,0.06739878,0.100006275,-0.45365837,-0.47346213,0.0685111,0.10172613,0.877964,1.5278959,-0.12588382,1.1578431,0.13328895,-0.28462666,1.286793,1.485884,-0.035117738,0.68224305,-0.32596478,0.25206763,djalma
2,1.5376852,-0.21226256,0.43239066,-0.70111954,-0.6147639,0.7712317,-0.054749865,-0.73425514,-0.26403102,0.64184535,-1.8556956,0.31566605,0.9567824,1.1226801,-1.1792523,-0.05470628,0.47604746,-0.20423827,0.6964979,-2.6079018,-0.11989468,-0.54995596,-0.6967654,0.79461586,0.9154195,-0.25522244,0.65487826,0.7034142,0.15195513,-0.07798244,1.0932684,0.965076,1.814212,0.6107747,-1.3181686,-0.49997607,0.48239368,-1.3377528,1.3464036,-0.41428018,1.0079268,-0.43489942,0.35421115,-1.1311526,0.056187622,1.153188,-0.64048856,-0.4158622,-0.4402457,-1.1536021,0.4543851,-1.4088823,-0.17067125,0.12912929,1.7216383,1.0595335,-1.2862847,-1.5214456,1.9324208,-0.519515,-0.9415349,-1.0969225,0.54938763,-0.14040859,0.2607492,-1.0657321,-1.3973802,-0.6908457,-0.82497567,-0.46161753,0.16358636,1.5377184,0.9196716,-0.19601572,0.23154522,-0.33392572,0.4618303,0.7471852,2.968504,-0.13167584,-0.2260643,0.32415754,0.057777714,-1.2253741,0.24605319,0.11716264,-0.2940795,-0.6390766,0.6354792,0.95752305,-0.049291007,1.6993077,-1.4530299,-0.30687156,1.8891546,-0.5124994,0.095645145,-0.34448457,0.084387496,-0.14617467,0.63773984,1.5407676,0.12987573,-0.90533113,-2.009064,0.8705821,-1.2022159,-0.29083925,-1.8566406,-1.2409295,-0.57108533,1.107703,-1.3152198,-1.4155407,0.60392785,0.9620979,1.3117602,0.5550134,-0.6181852,-0.10021676,-0.7328568,0.11839612,2.9587631,0.53728807,-0.46817398,0.7474454,1.6533536,-0.28449574,djalma
3,1.300352,-0.18053073,0.15481657,-0.06537262,0.6897791,0.0033691693,1.0180846,-0.5652324,-2.102212,0.7987166,-1.2639687,0.24260086,0.65102464,1.5313432,-0.96226525,-0.7827281,0.85081863,-0.7448929,-0.08772822,-1.7956277,-1.6075662,0.6532415,-1.9089689,-0.018365704,0.9773888,0.4203373,0.25206554,0.42182615,1.0804383,-0.01622976,1.8049892,0.6737594,2.3286777,-0.322982,-1.4200493,1.1027359,-0.2097612,-0.28387514,1.204629,-0.93223536,1.3493127,0.9216651,-0.5089823,-0.7674395,0.23639055,0.2955722,-1.1280802,0.1835443,-0.925523,-1.1816509,1.2869232,0.024716794,0.48665947,-1.1745418,0.5945062,1.6947514,-0.7488898,-2.427783,2.4267988,-0.55222374,-0.768843,-1.5515215,0.112693354,-0.15855291,0.47770113,-1.5294905,-0.977532,-0.76117533,0.1513417,-0.049346834,-0.06873338,0.796154,-0.6778347,-0.5643512,1.0123218,0.05075446,0.36801678,0.21741413,2.4644828,0.5605381,0.8334841,1.5714816,-1.3557235,-0.35787818,0.697555,0.99948144,0.039392494,0.06174928,0.39454627,2.0671344,-1.1012148,3.2014618,-0.42775562,0.38795584,0.829693,-1.2386974,1.1946176,-1.6406304,0.93318415,0.83395606,-0.36974955,0.8531442,-0.6843758,-1.6442261,-1.5135368,0.74816346,-0.9535719,-0.6476314,-1.033333,-0.7494465,-1.1204182,2.1169686,-1.2520567,-0.6714086,1.9524707,0.8416742,0.087694,0.54018354,0.06628313,0.6653734,-0.10752338,0.0131986,1.3331449,0.73137826,-0.18327942,1.2132227,1.1433643,-0.19741774,djalma
4,1.6886823,0.058250383,0.06543948,0.35260797,1.7361686,0.645782,-0.6810048,-0.3124924,0.15387833,1.0122095,-1.9942025,0.624457,-0.66345936,0.56609416,-1.1399726,-0.061428595,0.34740114,0.88491625,0.43593985,-2.4925983,-1.8050953,0.68030375,-0.45654884,0.49053177,1.2222465,0.7021353,0.9659537,0.9998848,0.17602101,-0.6643164,0.6681311,-0.40721306,0.9444377,-1.1115447,-0.7537396,0.9589278,0.68798715,-0.32246208,0.97394526,-0.12730427,0.8938889,-0.91566956,0.6456882,-0.8516202,0.5225424,1.16742,-1.7267224,-0.15516445,-0.7542365,-0.7759218,0.1988145,-0.58330244,1.4836681,0.5956246,1.0287699,1.7171471,0.07684928,-2.680406,1.7501268,-0.6703201,-1.0246372,-0.6854748,0.8053465,0.9675512,0.7294189,0.25811404,-0.32746756,-0.060974315,-0.29087147,0.3193062,0.12063731,2.158013,-1.2135549,0.88745904,0.5197429,-0.11003265,0.018232152,1.0711697,1.8217125,0.49891788,-0.5775904,0.7810435,0.295903,-0.28095123,1.3634471,-0.8179176,-0.4560413,0.15945713,0.5356568,0.8726088,-0.5720607,0.9398459,-0.36125478,0.16097638,0.19773127,-2.0586126,0.16166829,-0.57481456,0.88824993,0.0641163,-0.102330506,0.9814585,-0.036967322,-1.3836157,-1.7134749,1.5444914,-2.085778,-0.4994218,-1.148428,-0.5457076,0.11772318,2.559192,-1.2330956,-0.38935998,1.3430082,1.5716488,0.34205154,1.3352541,0.14890224,0.21077918,0.63060385,-0.23101334,2.423805,-0.023508968,-0.17903443,0.15540752,2.0778372,-0.40139776,djalma
5,1.4774442,-0.07607347,-0.2792779,-0.017528817,1.403066,0.74725384,0.067321464,-0.5620218,-0.12184762,1.8376557,-2.0547404,1.4653603,-0.45692056,0.4995199,0.23582207,0.6836915,-0.14828858,0.83902574,0.25846952,-2.416072,-1.287377,0.48748466,-1.325499,1.0427032,1.3960673,1.0441055,1.2371831,1.4028388,-0.43403047,-0.17625295,1.1205373,0.30501643,0.8712481,-0.2709877,-0.74671996,-0.020955827,0.07379043,-1.1882668,1.4448838,-0.0702754,0.034961145,0.07179261,1.0689374,-0.8511917,0.17995675,1.4889528,-1.1662538,-0.899665,-0.80946857,-0.5997603,-0.035753995,-0.3914295,1.2434645,0.19389611,1.4219817,1.5099344,-0.1185351,-2.1393204,0.75388396,-0.04269895,-0.39719304,0.09804875,0.78334904,0.8503789,1.4942335,-0.5290288,-0.53989387,0.31226912,-0.08396031,0.17576213,1.1655818,2.1674716,-0.22885925,0.25722688,1.1588454,-0.4895859,0.39954534,0.647638,1.7274526,1.3128597,-0.78122544,-0.03414737,0.075544104,0.058475085,0.5573985,-0.53677,-0.600431,-0.027394153,1.4093741,0.25638443,-0.43325183,0.8228865,-0.7362622,0.53996813,1.4226823,-1.6154138,-0.35661656,-0.21751499,0.2769332,0.076153226,1.0961378,1.2198217,-0.78369707,-1.9951481,-1.2774572,0.32824838,-2.5836735,-1.7715398,-1.1458713,-0.3125023,-0.19627026,2.7390828,-1.1065258,-0.6276486,1.6934202,1.5165286,-0.5621747,2.4202664,0.59026694,0.7799917,0.21243185,-0.13290754,3.1675262,0.529272,-0.0686146,-0.25966668,2.3166032,-0.044820443,djalma
6,1.5577536,-0.70456743,-0.37728924,-0.06585424,0.48096782,0.85787195,0.16297658,-0.1760855,-0.47779885,1.727623,-1.4303623,0.43100053,0.61430705,0.363838,-0.79783034,0.72829264,0.39071453,0.57237184,1.1900015,-1.9491018,-0.3832006,-0.03651599,-0.8456242,0.042984676,0.5503404,0.6009886,1.7844685,0.44174105,-0.70466727,-0.69901127,0.17759138,1.1407502,1.2634628,0.058021076,-0.6981937,0.45204183,0.29850912,-1.1823988,0.88104695,-0.77384436,0.8525339,-0.6306326,0.543399,-1.6882616,-0.016954282,-0.44973558,-1.9103788,0.08035701,0.037981384,-0.8863456,-0.14909355,-0.7755557,0.17922656,1.0053447,1.8292106,1.1325495,-0.69439936,-2.3638349,1.7740263,-1.0653516,-1.8893535,-0.57843775,1.5915071,0.95543784,0.8517298,-0.46132928,-0.18514636,-0.4148478,-1.2212703,1.2576952,0.82652605,1.6798474,0.32041225,1.565381,1.0705743,-0.7029674,-0.39877525,0.6809163,1.5138565,0.34026802,-0.2484279,0.643319,-1.0721865,-0.9445479,2.146545,-0.48289096,-1.6857463,-0.4825049,0.4949281,0.9401958,-0.54052675,1.43958,-0.51444876,0.46906814,-0.10857037,-1.1260991,-0.17875785,0.44580403,0.6373714,-0.26874024,-0.016792042,0.0761378,0.23233971,-1.5228934,-1.2689745,1.3499577,-1.3567082,-0.17364603,-1.5928786,0.065768585,0.2907971,2.3049417,-1.1920944,-0.45354578,1.1662785,0.7808788,0.80049586,0.16469581,-0.3576566,0.5610549,0.7626509,-0.71591675,2.4915814,0.40922156,-0.6828021,1.1752161,2.040834,-0.16931559,djalma
7,1.4745191,-0.31868523,-0.050786894,0.21586514,1.1675072,0.7097923,-1.0527945,-0.6028796,0.048746966,1.642976,-1.8886443,0.9238623,0.62219894,0.12435947,0.05889723,0.9349696,0.49527535,0.14083552,0.45543873,-1.6722983,-1.2803694,0.7814706,-1.2679293,1.92344,0.3228558,0.002363123,0.9406012,1.0658711,0.5206901,-0.33458203,1.3776017,-0.40044698,1.2023227,0.08526816,-0.61727834,0.55943894,-0.26312706,-0.54218656,1.8189366,-0.33997458,0.8087101,-0.32750392,0.9840392,-1.1194782,0.51399976,0.95932156,-0.66851556,-0.18429784,-0.49395108,-0.49483493,-0.08673389,-0.66431314,1.5880975,0.5235416,0.8341926,1.1249887,-0.7149499,-2.3349354,2.189156,-0.363144,-1.1414323,-0.26893386,-0.02043581,0.818516,0.82932323,-0.53909963,0.22481841,-1.3171872,-0.85838866,0.008088626,0.40606794,0.79118717,-0.033654578,0.4721983,0.20721836,-0.3871955,0.24481785,0.9366023,1.8519601,0.22098722,-0.30946448,-0.812279,0.117004216,0.17046514,1.3937948,-0.861585,0.079023965,0.07934375,0.6428026,-0.05766702,-0.3328013,1.9480268,-1.3283238,-0.025923092,1.4456807,-1.7107197,-0.37623215,-1.3658993,-0.19921893,0.083291546,0.17532566,1.5042895,-0.8012707,-1.2076794,-1.5246065,1.843695,-1.5203685,-1.1698254,-1.2953901,-0.42449796,0.30068603,2.334968,-1.6897956,-0.42129037,0.7383488,1.0361842,-0.09324525,0.97534704,-0.6929757,0.03667596,-0.030625232,-0.8169272,2.8693075,0.061219983,0.44971865,-0.22427759,3.074947,-0.77629095,djalma
8,1.3899146,-0.7827772,0.032972082,0.04363229,0.7733268,0.3268824,-1.070943,-0.67385304,-0.06929923,1.2719061,-2.6340792,0.5734181,0.35899287,0.89612365,-0.7672434,1.0221835,0.025008086,0.061550714,0.6005832,-1.7694622,-1.6424205,0.9321756,-0.7417688,1.4676826,0.5940487,-0.211905,1.0392026,0.33694312,0.6142776,0.23074423,0.92429423,-0.43130302,1.371964,-0.07097907,-0.9340054,0.62197566,0.11260167,-0.18206626,2.4310377,-0.38359368,1.2158477,-0.2015069,0.45461798,-0.9925263,0.68798643,0.7374753,-1.5346782,-0.08231437,-1.2788112,-0.2506003,-0.20149802,-0.46418533,1.5168347,0.6708376,0.46704042,0.7859217,-0.73447603,-2.357175,1.899864,-0.34287986,-0.37147918,-1.0500841,-0.14264952,0.43979344,0.18761322,-0.35410506,0.15368956,-1.3615919,-1.3478776,-0.14071344,0.056934956,1.3920349,-0.014427453,0.08264057,0.6837267,-0.80907345,0.2025088,1.2668169,2.5768645,-0.2093041,-0.40282112,-0.19817062,-0.021237299,0.60408604,0.70825666,-0.7682434,0.1841622,-0.6299424,0.16584107,0.061503872,-0.25128543,1.889325,-1.5294183,-0.0991052,0.9959031,-1.7571312,-0.10542849,-1.4074085,-0.5902817,-0.29937026,0.12852138,1.7443876,-0.8590293,-1.1001811,-1.3209157,1.4633828,-1.941455,-1.4248832,-1.8973337,-0.27711195,0.73236907,1.978066,-0.7964636,-0.5682256,0.52918875,0.8853792,-0.2531603,0.8458127,-1.5530936,0.10500227,-0.2180822,-0.8320683,2.6516595,-0.047481395,0.020560998,0.044661812,2.5728424,-0.7464855,djalma
9,1.6358601,-0.028694473,0.37230572,-0.5355966,0.62749064,0.40271908,-0.81531453,-0.58424956,-0.65062803,0.6587091,-2.145438,0.7813839,0.42830813,1.4016926,0.37595236,0.96552294,0.045038063,-0.022925738,0.5215452,-1.8581195,-2.0128834,0.43929508,-1.0721755,1.7587988,0.3790604,0.5563852,0.5524962,0.8134536,0.6510014,-0.15814023,1.136377,0.35272714,1.275626,0.51829475,-0.7927178,0.21725345,0.9302929,-0.54891866,2.0433586,0.7507175,0.9240122,0.5916233,1.2901369,-1.3469329,-0.1941668,1.2577096,-0.7751864,-0.08471299,-1.051654,-0.10794632,-0.13716802,-0.37154853,1.418088,1.09254,0.789927,0.9022284,-0.43807027,-1.8636793,1.9777908,-0.12233262,-0.06765601,-0.7128789,0.15512,1.417705,0.047828823,0.28794244,0.32593438,-0.54308337,-0.08902629,0.1985162,0.24928485,1.157906,0.8105173,0.45289642,0.2060814,-0.008985881,0.31532538,0.5892422,1.724744,-0.113550305,-0.63940924,-0.18763414,-0.5211232,0.8552421,0.96634704,-1.0872829,0.5725242,-0.6380268,0.49958697,0.8615185,-0.6352853,1.1877859,-0.98935664,-0.91488904,1.0177069,-0.7705819,0.00192119,-0.8722518,-0.9641929,-0.40932348,-0.14957379,1.0254408,-1.143018,-0.77191573,-0.95364594,1.2791346,-2.550495,-1.0671538,-1.2462529,0.030864688,0.6094433,1.7842181,-1.0256038,-0.5519901,0.63344026,0.9193983,-0.9483019,0.2322719,-0.2900406,-0.47181058,-0.40994334,-1.1207123,2.5109267,-0.14325191,0.4303754,-0.28610632,2.7802365,-0.5222459,djalma
