True,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,target
0,1.1214579,0.5996064,-0.503417,0.6218864,0.19983861,0.33088315,-0.09333872,-1.1742556,-0.28667232,0.41408128,-3.1062365,0.41026857,0.38133806,1.3292909,-0.41504464,0.636268,0.6891912,0.51193446,0.48517016,-1.3935758,-0.8018298,0.5300344,0.026780851,0.9666921,0.9587733,-0.12905267,-0.6449907,1.3521894,0.03649299,-0.2656917,0.9339578,-0.0989193,1.316674,1.1777203,-1.2049483,-0.2873134,0.65217537,-0.61674255,2.4717147,-0.9500456,0.38124016,0.7694555,-0.12543705,-1.7622412,-0.08102762,1.5234729,-0.9364913,0.53489816,-2.4299278,0.74305105,0.27826834,-0.31997937,0.436832,1.3357847,1.5024745,1.1747918,-0.5628781,-1.905693,1.7745624,-0.3239462,-0.33874816,-1.2351525,0.49937093,0.44564033,0.8378379,-1.0055972,-0.4478007,-0.18615681,-1.0487984,-0.59882224,-0.054839663,1.9436915,0.20675462,0.17666091,-0.6300778,0.36456186,0.13900456,-0.12253751,2.7151804,-0.6514536,-0.35025677,0.39329597,0.004543241,0.5294634,0.48863164,-0.2212959,1.0617545,-0.552815,0.022832215,0.6928042,0.19802329,1.6388862,-0.8378534,0.05613856,0.6292646,-1.6937847,0.35542378,-0.7851,-0.8718173,-0.27465788,0.4418627,1.9776876,-1.4167739,-1.2235769,-2.007129,0.46513563,-2.9312818,-1.5758085,-1.4422574,-0.4523997,-1.010545,1.9415412,-0.61849225,-0.577178,0.62664485,0.39345148,-0.39659667,0.40319043,-0.32117528,0.28235975,-0.8116351,0.6371062,2.9850836,-0.18712118,0.26265132,0.19763458,2.868368,-0.6281119,djalma
1,1.2459537,-0.09358786,0.6667594,0.46864274,1.3242155,1.4372506,1.0708494,-1.3583137,-0.13234456,1.3079237,-1.3009403,-0.9943512,0.89838755,0.11165227,-0.7496923,-0.88976383,-0.110547036,0.51283467,1.1763355,-1.8523549,0.14186825,0.74358636,-1.8396683,0.084018484,-0.20409192,-0.7432057,0.8616463,-1.2339762,-0.6569342,-0.357645,2.453143,-0.3421971,0.46458375,0.273867,0.16466308,-0.2716898,0.76030535,-1.0406228,1.8281157,-1.2037035,1.4826441,-0.7437768,0.7259724,-1.4529041,-0.24829297,0.6140367,-1.4761246,-0.03955161,-0.5182587,-0.8847852,-1.5162218,-0.3479091,0.07013383,1.5007403,0.49182424,1.149329,-0.6705019,-2.876433,1.2120787,-2.322478,-1.2773367,-0.5657945,1.6042334,0.6456712,-0.97670895,-0.17940913,-0.2682055,-1.7930521,-1.7356656,1.0577943,1.2428862,0.47096893,-0.0765066,-0.08760038,-0.6106924,-0.41577077,-0.28971657,0.8525914,0.67087084,1.1091523,0.78052366,-0.16551045,-0.32589114,0.052649394,2.5267553,-0.6168793,-0.49435955,0.010021888,-0.013063837,0.2912122,-1.3386589,1.1081785,-1.1535356,1.2238914,0.52550995,-1.4721415,0.04770876,-0.41678095,2.1191516,-0.07515359,-0.73150116,1.5035944,0.76996315,-0.48579514,-0.522842,2.7181277,-1.0752559,0.79538107,-1.8879377,-1.4502811,0.65929997,0.5315828,-1.4367241,-0.44976643,-0.5118652,1.3692075,0.70071805,0.015460014,-2.181035,0.2588226,-0.3204012,0.052060235,2.316931,0.038370073,-1.1101372,1.4147525,0.76564026,-0.42763877,djalma
2,0.9574715,0.41154036,0.36201304,0.053611018,0.22880171,0.62145793,0.0746637,-1.2598392,-0.69032377,0.7392081,-2.7495794,1.17254,1.2650853,1.1438439,-0.44083187,0.9894847,0.05340369,0.5025541,1.3297632,-1.7082763,-1.9991852,1.5458066,-1.5078472,0.5373749,0.44886765,-0.39737993,1.0330877,0.51325023,-0.28515756,-0.34631693,0.8464018,-0.65150034,1.7096511,0.05777391,-0.34858224,-0.13322473,1.2902119,-0.7926538,2.1937132,-0.5721195,1.011485,-0.6778397,-0.005336657,-0.7525505,0.1165614,0.3185276,-1.5218575,-0.28552192,-0.8810001,0.2110687,-0.11133543,-0.2247772,1.1367134,0.8644581,0.85065293,1.2231563,-1.2368292,-2.205469,1.5957563,-0.4315306,-0.47165695,-0.8689902,-0.24036956,0.033283424,0.29275972,-0.65992194,-0.13819528,-1.2778412,-1.424129,0.04111442,0.556673,1.1356207,0.29181486,-0.2724318,0.72827244,-0.45558098,0.47280452,0.85379523,2.6608799,0.066103995,-0.107043274,0.50522625,-0.04329998,0.5740197,1.6614232,-0.30667692,0.45225716,-0.021737792,0.3443796,0.40147397,-1.452865,1.3869693,-1.1036155,-0.83673096,0.84093964,-1.8008037,0.07387209,-1.1733276,0.7621848,0.13988675,0.39791268,2.597222,-0.421039,-1.1028798,-1.5919347,1.5333403,-1.4205807,-0.5017953,-1.6757698,-1.2562344,0.10119295,2.16948,-1.1309375,-0.8008674,0.11252055,0.92967105,0.60496783,1.4423455,-1.1946427,0.4603598,-0.00040324777,-0.5824398,3.0373611,0.21894675,0.19703212,0.9968541,2.060254,0.31659615,djalma
3,1.8996482,-0.82114565,-0.159984,-0.08376855,0.81390136,0.34685624,-0.6201409,-0.55410355,-0.36695412,1.9203198,-2.5813162,-0.19897762,-0.32727945,0.9836868,-1.4440196,0.24075113,1.4897135,0.22427838,0.96198976,-1.3476719,-0.11509446,0.18203104,-0.38362536,0.5878001,0.11534412,-0.24904138,0.58003414,0.21443191,0.5440278,0.7869249,1.4204592,0.08770746,1.2372471,0.51149195,-0.57311165,0.059049044,0.1195104,-0.03487899,2.425548,-0.36097106,0.1940342,-0.54430825,0.27565598,-2.2460284,0.8239292,0.4635241,-1.1299864,0.34007436,-1.5696636,-0.51244855,-0.5809302,-0.66626585,0.36012894,0.39719924,0.19652842,0.7548804,-0.1412439,-1.9905603,1.7970818,-1.2396358,-1.461078,-1.4276832,1.0314723,0.40534583,-0.7220178,-0.5619477,0.21999386,-0.77547514,-0.18393102,-0.38400954,0.45677087,0.4764301,-0.1681693,0.8978224,0.50299644,-0.11106655,0.5701796,-0.53951144,2.2468538,-0.8456236,0.19078994,0.1310456,-0.039745927,-0.09136752,1.1436257,0.29668504,0.297851,-0.42136925,-0.2261745,2.0870423,-1.4177474,1.991451,-0.8277088,0.9194493,0.30022663,-2.0570736,0.026896413,-0.62609404,-0.20337509,0.55606115,-0.29626685,1.6844856,-0.00918106,-1.307669,-1.5037111,1.3038706,-2.1134708,-0.50232244,-2.2032118,-0.6049145,0.75947964,1.8245671,-1.7126889,-0.5822514,0.9795057,0.43824366,0.034489837,0.4090863,-1.2454689,-0.12369116,-0.09723434,0.47545788,1.1136528,-0.09953534,-0.98664546,0.9586057,1.5377586,-0.9531847,djalma
4,1.0170219,-0.80727744,-0.43799144,-0.45738265,0.7602654,-0.10321825,-0.6827267,-0.37154803,-1.5797143,2.1677864,-2.062279,0.27111366,0.18035823,0.4878331,-0.953971,-0.1640153,0.5216392,-0.41671515,1.056476,-1.59455,-0.396629,-0.080005765,-1.772263,0.871501,-0.24940617,-0.07514829,1.422059,0.45360166,0.767828,0.527524,1.9660254,0.8978732,2.188682,-0.14747742,-0.40555546,0.7246977,-0.6778173,-0.24995714,2.5857067,0.3331193,0.568197,-0.060247853,-0.33658665,-1.8708528,0.05415543,0.18676773,-1.1954896,0.6696323,-1.2170463,-1.8399796,-0.35497224,0.32950282,1.5150244,0.8578334,0.69992447,0.98590994,-1.1947365,-2.0579877,1.7120937,-1.5395241,-1.6326226,-1.8324636,-0.516981,-0.34924048,0.23171479,-1.1226895,0.40362653,-0.21779412,-0.08611596,0.08364131,0.22890598,0.7182423,-0.59877807,0.71977746,-0.24778265,0.19859003,1.0027384,0.21531086,2.0328767,-0.47572958,0.65655065,0.07646134,-0.35536298,0.0112821255,1.5314256,0.35556218,-0.11598815,-0.17560986,-0.5808799,2.1443572,-1.4956435,2.166582,-1.2934667,0.73046273,0.50688833,-1.78658,0.26178902,-1.174156,1.2435656,0.7824182,-0.8282776,1.8359399,-0.13167152,-1.204875,-2.0188813,1.5582948,-1.3073647,-0.045462526,-1.4228742,-0.89022404,0.38622323,1.4668478,-2.2222745,-1.2488333,1.3582246,1.743804,0.12384482,0.45044938,-0.6359628,0.329304,-0.049713925,0.3505868,0.8157411,-0.12483153,0.039959043,1.0858059,1.7236533,-0.23939332,djalma
5,2.1423726,-0.42502233,-0.09806668,-0.600533,0.37598544,0.3630439,0.056324843,-0.99820346,-0.87093866,1.630678,-2.6360013,-1.160422,0.071995735,1.2289525,-0.6804575,1.0062746,0.94644034,-0.52335095,0.024926394,-2.0411046,0.41009805,0.9036226,-0.78191686,0.36483178,1.0859524,-0.25565827,0.61933553,0.85888594,0.5700327,0.36420134,1.3295017,0.6158344,1.372375,1.3660419,-0.0673876,0.09569475,-0.22951323,-0.9517893,2.266156,-0.9193827,-0.1803374,0.3315415,-0.11835013,-2.7792692,0.62570804,0.27482224,-1.6273907,0.2153152,-1.6704239,-0.89021146,-0.68755966,-0.4908142,0.0037537143,0.33480975,0.84323746,0.7448085,0.0101912245,-2.2892787,1.9040464,-1.6847882,-1.0317384,-0.7754358,1.1397146,1.2811309,-1.0035639,-0.64319617,0.33880466,-1.2394009,-0.27021596,-0.5450109,0.6453551,0.66007245,0.26919734,-0.38094515,0.6193506,0.3123134,0.09703511,0.023168404,2.7759519,-0.7288725,0.427683,0.9053309,-0.9951885,0.19771864,1.6896977,-0.559744,0.057321016,-1.0963538,0.3593183,1.5358107,-0.8076244,2.4287415,-0.897953,1.4344075,0.81060845,-1.0605794,-0.44908914,-0.72136325,0.0009536855,0.52293986,0.20897068,1.4876494,-1.037242,-1.4601091,-0.82409024,1.3456041,-2.7232943,-0.3141587,-2.5483835,-0.21829553,0.27197164,1.5855509,-1.4075481,-0.36785972,0.87822056,1.1836764,0.045175843,-0.10814759,-2.1230478,0.28765672,0.5699633,0.6484083,1.6773869,-0.31102845,-0.2533781,0.6992713,1.9125949,-1.9826865,djalma
6,2.3770926,-0.36996463,-0.4710579,-0.05816134,0.78816533,0.54427004,-0.02604913,-0.59183264,-0.615566,1.8708013,-2.3408973,-0.68461037,0.047643438,1.4809607,-1.0138255,0.4747911,1.1362164,-0.3042705,0.36892676,-1.9931872,-0.119190976,0.5981381,-0.9772257,0.09271909,0.76439106,-0.4291071,0.2555579,0.71840197,0.21659455,-0.10258681,1.7029017,0.4344531,1.4466921,0.671475,-0.30905107,0.47051972,-0.1375126,-0.44234097,2.1190917,-0.6650988,0.29616344,0.40157446,0.20489472,-2.8212664,0.097522795,0.2603734,-1.8310072,0.5320368,-1.5850484,-0.72799444,-0.49027634,-0.37265414,0.24648938,0.5134068,0.9969962,1.2005372,-0.16492926,-2.4009037,2.1398625,-1.7941058,-1.4377389,-0.7814557,1.1488461,1.2844268,-0.26872075,-1.1291527,0.038549118,-0.8829593,-0.4616797,-0.23315701,0.4625135,1.0514911,-0.14292595,0.12225242,0.2935515,0.27332565,0.23502746,-0.12399563,2.2657764,-0.6986614,0.6834676,0.58406746,-0.7047059,-0.30744463,1.5544404,-0.86559355,-0.2435362,-0.6014237,0.30200997,1.6426461,-1.1358469,2.1400795,-0.8576929,1.3624792,0.4612225,-1.613966,-0.1525725,-0.56579036,0.55608696,0.67558575,-0.055533685,1.6638389,-0.99209976,-1.7891492,-0.95686954,1.4973981,-1.9892657,-0.44337806,-2.147073,-0.62298965,0.45223483,2.286816,-1.7128961,-0.36977118,0.9172275,1.0371326,0.33867055,0.07248694,-1.5173925,0.4258259,0.1889386,0.45447135,1.806465,-0.10308161,-0.2627687,0.85312945,1.7956547,-1.3966154,djalma
7,1.7125436,-0.8158833,-0.20736063,0.10284468,1.1335981,0.38702488,-0.54804593,0.21005823,-0.33855513,1.680205,-2.146856,0.4776185,-0.07900664,0.3335474,-1.1600064,0.12021747,0.8115058,0.28371078,0.77265805,-1.5483569,-0.7804551,1.0597582,-1.1221323,0.9656707,0.28577858,-0.046994492,0.5852965,0.9904931,0.9710347,0.19998069,1.7634178,-0.31744802,1.836314,-0.23831642,-1.1380875,0.3703729,-0.010403629,0.12413248,1.580694,0.12809323,0.19941568,-0.8207295,-0.0020031556,-1.7326093,-0.11089629,1.1534134,-1.1985414,-0.28300595,-1.3605425,-1.0859421,-0.50644994,-0.28407156,0.5790557,0.32602227,0.97966796,1.6519389,-0.64908236,-1.8245007,1.3891755,-1.1592551,-1.931707,-1.3928949,0.6115619,-0.031126034,0.10087757,-0.54802954,-0.10395134,-0.12001324,-0.40880615,-0.7909968,0.5276521,0.9945159,-0.49385846,0.9265701,0.3768407,0.42887592,-0.10906288,0.0062406585,1.8990272,0.6793815,0.13477764,-0.04799681,0.10509324,-0.3929234,1.2881576,-0.06455964,-0.64349556,1.0093743,0.6267867,1.7789322,-0.87812275,1.3375955,-0.6634103,0.81629103,0.3825787,-2.3991315,-0.27277237,-0.6234235,1.3163884,0.14787258,0.05572948,1.437118,0.04645308,-1.2661822,-1.7711976,1.2876129,-1.0984344,-0.9017576,-1.3048779,-0.95480305,0.5599211,2.160925,-1.8190101,-0.9653099,1.691994,0.59887743,0.5423882,0.980817,0.16770792,0.099696726,0.11161988,0.84860766,1.0093223,0.019568995,-0.7194656,1.3150675,1.2311401,-0.16641551,djalma
8,0.9847566,0.05899401,0.059816256,-0.7978513,-0.09288983,0.24960142,-0.451125,-0.23728031,-1.617169,0.42470667,-2.2080748,-0.06501416,0.03275861,1.3511575,-0.8506925,0.80216324,-0.52940726,0.17350113,0.99234724,-2.2231765,-1.4893763,1.2404852,-1.214325,0.6946333,0.5097575,-0.119636975,1.1373184,0.5400683,-0.08885282,0.55728287,0.92140317,1.0378307,1.3824738,0.60555667,-1.0078226,0.69233227,1.1213917,-1.09307,1.9478486,-0.100484,1.1931876,-0.7163624,0.055874556,-1.2271144,0.6846895,0.61524314,-0.57248074,-0.1901828,-1.3640542,-0.22718751,-0.51157665,0.3278249,1.5544044,1.263373,0.5060363,0.86666137,-1.9537992,-1.4223583,1.2580287,-0.55642474,-0.7285701,-1.5814337,-0.21308611,0.4025008,0.5004444,-1.0162983,0.13947956,-0.7202184,-0.9937598,-0.53641796,0.86337113,1.3069896,0.21466634,0.60746,0.039266195,-0.22390336,0.025015473,1.2078074,2.844874,-0.043500118,0.14120951,0.9306989,-0.002096694,0.5122559,1.3445845,0.06999951,-0.05427239,-0.15760237,0.32873774,0.6501548,-1.0633593,1.6148863,-1.2702882,-0.26888993,1.015612,-0.7650834,-0.44514683,-1.2687231,1.0742183,0.4108733,-0.3447153,1.9532902,-0.3236049,-1.430303,-2.5978909,0.8912082,-1.7568663,0.5844877,-1.7079972,-1.1790677,-0.556291,1.292074,-0.3659267,-1.0174352,0.8375875,1.2091867,1.1435419,0.5205365,-1.5817161,0.375075,-0.25768465,-0.2522289,2.4116197,-0.08009201,-0.38273346,1.2843441,1.853319,-0.316319,djalma
9,0.7635106,-0.6879611,0.3038413,0.335708,0.73496556,-0.27888256,0.043785524,-0.6806679,-1.1030306,1.3356148,-1.6448035,1.2328068,1.2915844,0.5728344,0.058761057,-0.32041413,0.9496949,0.04012344,0.66066396,-1.817908,-1.2393022,-0.09213767,-1.3361824,1.1826881,0.143261,-0.27497205,1.648612,0.83619195,0.8196112,-0.31804806,1.4108562,-0.13446498,1.5708243,-0.13526656,-1.0209606,0.47191125,-1.0624741,-0.63073176,0.8358957,-0.40171707,0.07714602,-0.7054638,-0.21459073,-0.5877274,0.020384641,0.4925999,-0.74112284,-0.41319498,-0.8061673,-1.6031213,-0.050486587,0.22361584,0.6201921,0.1910257,1.0685511,1.7411398,-1.0491536,-1.3939421,1.5213636,-0.737591,-1.5704316,-0.9281372,0.44121507,-0.0085757375,0.7070582,-1.1588236,-0.2093293,-0.73209363,-1.1565783,0.25008145,0.51703954,0.8227669,-0.046333347,0.46036845,0.5961664,0.06056157,0.34259713,0.53127915,0.9737535,0.08207691,0.1898906,0.37691653,-1.0122125,-0.41986448,1.5668375,0.08940951,-0.83894855,-0.46078086,0.25380126,0.007392429,-0.5720474,1.7311532,-0.7062806,-0.008624747,0.66533893,-1.1534032,-0.3074279,-0.8610741,1.6694217,-0.077572346,-0.51386017,2.2400043,0.9490147,-1.5571645,-1.2189096,1.5323709,-0.9668614,-0.45930198,-0.6961802,-1.5751148,-0.7523751,2.83237,-1.9972309,-1.1477433,1.2516043,1.7309595,0.5169996,1.099536,-0.8920054,0.9759729,-0.17140128,0.09027242,2.290145,-0.2853874,0.1912503,1.3516018,1.577198,-0.24414109,djalma
