True,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,target
0,0.31567812,0.28041622,0.48955193,0.88657814,1.0309087,-0.5434289,0.40441132,-1.6334325,-0.021727845,1.8986807,-0.7223598,-0.87988627,-0.7209598,-1.0804822,-0.13468799,3.068503,1.9434861,0.06795633,-0.17491919,-1.293575,0.33607894,0.3443572,0.5060276,0.38964444,-0.42505977,0.88088286,1.273839,-0.70061237,0.5890025,0.27554575,-0.11774458,0.29235783,-0.17350608,0.7591123,2.671972,0.24485311,-0.513499,0.9409889,1.672976,0.9338882,0.32907695,0.2196656,-0.50662816,-0.36771333,0.3179003,-0.40997177,-1.1272681,0.54856825,-0.18131402,1.164594,0.064641885,0.28021985,0.4728559,1.2869904,1.4001107,-0.33758494,1.3962724,-1.6491624,-0.8201765,-1.1816812,-0.7486015,-2.0083249,-0.2544101,0.605625,-0.6252123,0.14315984,0.639659,-0.062046677,-0.20171145,0.00046508084,-0.5687753,-0.60744214,0.2109232,-0.26179445,2.312698,-0.14972207,-0.9509294,0.9901988,-0.119543,-1.8985097,-0.3237844,0.5863581,-0.20299783,-1.0544509,0.39479116,0.9749794,-0.18959306,-0.634562,-1.5217961,1.3764087,-1.218368,2.0768397,1.4794521,-0.33492398,1.2861853,-0.7979207,-0.22666812,0.116396956,-1.3277969,0.030556275,-0.79168725,1.7758918,-2.9264002,-0.6789198,1.0367396,-0.14914541,-1.7747779,1.5510601,-1.5765498,-0.5727611,-0.33147362,2.1400068,0.41636932,-0.69924766,-1.731451,0.7057047,-0.33733132,-1.3348963,-1.0352896,-0.7471071,0.52929974,-2.6112843,1.4047117,-2.5605078,0.69916564,-0.16136849,0.4606912,0.1402693,matheus
1,0.5643457,0.7585176,0.87363505,0.80579257,0.62330043,-1.1554346,2.2137897,-1.6930454,0.07686592,0.6795618,0.1509865,-1.4133973,-0.44804573,-0.7289034,-1.1763012,2.7235656,0.3778823,-0.59392416,-0.48522633,-0.4538303,1.1364031,0.36920914,0.13627386,0.17461321,-0.4890744,-0.9591842,1.4139453,-0.5360675,0.46605426,0.73927015,-0.40773687,0.25669876,-0.42374253,1.6659904,2.1068757,-0.5943039,-1.1386552,0.15765709,1.0924532,1.3223294,0.3258587,0.29383332,-0.811761,-0.28370082,0.12075293,-0.8400568,-1.4427898,0.75075734,0.593112,0.58734953,-0.8453089,0.8571041,0.4705038,1.5021777,0.27978468,0.23110074,1.0188472,-1.10861,-2.033071,0.22218397,-0.8586829,-0.30995154,-0.64820445,0.052059498,-0.6405101,1.5328257,1.428483,0.94583666,0.33039394,1.0666971,-0.3430293,0.35073993,0.38800314,-0.81167305,0.6050602,-0.4410771,-0.42036936,0.2506573,-0.38305864,-1.3953831,0.14633814,1.0752923,1.8190261,-1.6821915,0.73510367,0.8834829,-0.15435682,-1.0170523,-0.47370452,1.2207725,-0.6725858,1.7795241,1.23554,0.68745255,1.4822316,-0.64550316,-0.5437521,-0.047686577,-0.25287616,1.161381,-0.23063454,1.3430619,-2.2274866,0.9197364,1.4711757,0.27974093,-0.47742218,2.2173016,-2.7359889,-1.0887533,0.66815406,0.82814157,0.3070335,-0.5790149,-2.1786106,0.8529694,0.4878253,-0.1538434,-1.0801301,-1.3729106,1.7634745,-0.31280562,0.6116287,-3.1934228,0.40283394,0.011789598,-1.2510567,-0.11364682,matheus
2,0.3424443,0.4022557,-0.3790029,0.5066293,0.23721157,-0.95593053,0.7868976,-2.1754262,-0.23681799,1.4636471,-0.3193205,-1.5751835,-1.4104352,-2.4222531,-0.68548715,2.2974277,1.2358714,-0.22316052,0.1893107,-1.0342976,1.3042827,0.057829536,-0.47923744,0.28180897,-0.40454084,-0.068006836,1.3228997,-0.26402113,0.7413149,1.1894392,0.30733186,0.23736255,-0.26621747,1.297221,2.381862,-0.21193668,-1.0417595,-0.029075213,1.9968178,-0.011113144,-0.45644727,-0.2146966,-2.263479,0.1799295,0.08817003,-0.757536,-1.6297106,0.9347178,-0.65208715,0.03547993,-0.8392561,0.8409751,0.5061424,1.9002857,1.2978858,1.2968947,0.8337638,-1.6007606,-1.3706208,-1.1533502,-1.22333,-1.4927055,-0.11287621,0.080290645,-0.47664014,1.6010704,0.8579077,-0.3999873,-0.8172278,0.23961355,0.44896594,-0.5604171,0.39405185,-0.88824683,0.9033686,0.3103782,-1.1637396,0.8680101,-0.017843835,-1.3442023,0.08417524,0.40739438,0.061670084,-0.5360642,1.7078831,-0.3416415,-1.3981899,-1.1976572,-0.8043983,0.8350974,-0.73220396,1.1050031,-0.18223272,0.9812625,0.84643567,-1.1013017,-0.40963852,-0.6592536,-0.6653338,-0.29983833,-0.16088048,1.912656,-1.754397,0.4612063,1.0332835,0.8680753,-0.7072597,1.3110746,-1.7486776,-1.1037104,0.26942652,1.0772686,0.14869195,-0.78975105,-1.5182467,1.2051119,0.043531403,-0.982479,-1.780886,-0.020883348,1.9654953,-0.6742438,1.1829255,-2.8576534,0.08363491,0.2575578,0.28103215,-0.8631953,matheus
3,-1.1694881,0.5710838,0.15967241,1.8280988,-0.8353362,0.29103234,2.4304316,-2.0190868,-0.79762805,1.1876671,-0.08387071,-0.15491055,0.947588,-1.6345394,0.6222416,2.7269654,-0.26614335,-0.68202007,-1.574167,0.47517553,0.4461393,1.1338397,0.135126,0.3745982,-0.14451596,-0.7367773,2.0553434,0.20554344,-0.19688861,0.8098498,-0.18965158,-0.95976526,0.5503665,1.0848662,2.7443128,-1.8131878,-0.255594,-0.040201835,1.3296905,-0.12557621,0.10884039,0.64631075,-1.4538538,-0.22660665,0.09213334,-1.1300641,0.43138623,-0.76047564,0.5844125,0.5510535,-0.5347605,0.4416846,1.2027898,0.25876567,0.34565213,1.2418592,0.81097144,0.016817756,-1.1621393,-0.3820584,1.4410768,0.6777229,-0.5261643,-0.25664186,-0.0840582,0.9031031,1.2384771,0.5962516,-0.7002328,1.2906708,0.5827132,-0.16211203,1.4198066,-1.6034684,1.280257,-0.6143001,0.44658336,1.3756657,0.20561984,0.18782513,-0.5981292,-0.10135758,1.1093355,0.9717881,0.68851554,1.3441923,1.6218748,-0.97598803,-0.36045963,-0.9564674,-0.71533114,0.3609625,0.25956967,0.7477754,1.7699611,-0.71828336,0.2477892,-0.8331028,-0.2528715,0.61146766,-0.16904046,2.4233088,-2.0197134,1.859263,2.3763695,0.014954433,-0.4169731,0.6177623,-0.9839542,0.5852473,0.16926499,0.7931629,0.6757976,0.45844835,-3.141981,0.93676436,-1.3972987,0.74115103,-1.5914366,-1.0581125,1.7103832,-0.52522886,1.0219126,-1.5781372,0.46596277,0.01392857,-0.14016874,-0.10165383,matheus
4,-1.2913326,0.6976979,-0.2455537,1.1537104,-0.55244887,-0.17822346,2.0117264,-1.4517264,-1.4444512,1.1418387,0.46826506,-0.66090935,-0.9120876,-1.3493226,-0.3367013,2.1180582,-0.03375902,-0.31547737,-0.7446448,0.4475843,0.28774256,0.44439268,0.15327719,0.6644419,-0.9033314,-0.75497323,0.83075666,0.53181756,0.37321365,1.0000315,0.6293652,-1.0498481,0.4629231,1.6729614,2.5919178,-1.40741,-0.28630498,-1.265195,1.8465371,-0.37154302,-0.49924165,-0.17416753,-1.3292283,0.24781448,0.542085,-1.7151793,0.0051386356,-0.17238225,-0.4628319,1.0089653,-0.70958656,0.19121805,1.0275444,1.3344034,-0.76626086,1.8573939,0.6198713,-0.60912555,-1.2709017,0.08024456,0.6668862,0.07463446,0.61106455,-0.67693394,-0.7677095,1.7001789,0.9950399,0.6992065,-0.10041255,1.2797129,0.32864198,-0.54409754,1.4670408,-1.0407815,0.94218856,0.06363542,1.0549287,0.6148881,0.8212739,0.40082818,-0.4103215,0.6384227,0.82010025,-0.29288432,1.2226179,0.929242,0.34992352,-0.29958507,1.0026141,0.8795695,-1.2028377,0.34724513,-0.75564754,1.5396714,1.1262714,-1.4420907,-0.5050018,-1.4865227,-0.31448546,0.82593054,-0.107659526,1.9290831,-0.72340924,2.3236613,2.2698312,0.09623026,0.2782721,1.143509,-1.5633352,-0.17225672,1.2144219,0.86723375,0.22154187,0.72312814,-2.2464857,0.10853559,0.09769397,0.24290337,-1.4115683,-1.2312548,1.6484392,0.3568517,0.76639444,-1.7240016,-0.36425835,0.20563021,-0.05859404,-0.6383131,matheus
5,-0.5891274,0.35663807,0.40334377,1.1161596,-0.48002872,-0.42209166,2.3319304,-1.7746742,-0.8492072,1.1038823,-0.20210618,-0.5539129,0.40958095,-1.1182534,0.23622847,2.4861374,0.23400897,-0.76627713,-0.92148876,0.72159785,0.08661981,0.9775347,0.6415797,1.0685225,-0.43313274,-0.28263345,2.1802578,-0.314275,0.11807249,0.9596241,-0.36178726,-1.1056622,0.33919206,1.3473524,1.8541359,-1.1859516,-0.9322207,0.00037051737,2.7340338,0.08304991,-0.3202805,-0.37057835,-2.140539,-0.7986165,0.3199641,-1.1530317,0.38338315,-0.8550073,-0.3722778,0.35409352,-0.6482484,1.195514,0.6531308,0.44793704,0.09475456,0.8602114,0.66308224,-0.17861511,-0.8967562,0.53224313,1.2857273,-1.476638,0.9556108,-1.5162628,-0.124337964,0.47595942,1.4067924,0.36457735,-0.8401205,1.2049773,-0.46941558,0.097547755,1.4102411,-1.4668422,1.1242993,-0.80586296,-0.031014442,0.6367984,0.73801905,-0.5351538,-0.5904745,0.23004226,1.0528928,1.1559137,-0.03419403,2.1651628,1.1069643,-1.6506935,0.02782464,-0.1847896,-0.291451,0.8444757,0.377825,0.42854413,1.2918652,-1.0887597,-0.08657092,-0.97361964,-0.58955085,0.5537414,-0.3284781,2.298242,-1.1862358,2.2241495,2.2923281,-0.09474392,-1.3179398,0.9642906,-1.9446775,0.11771268,0.5661688,0.9969846,1.1336523,0.083862536,-1.7522453,-0.12921962,-1.7263558,0.82407707,-0.80286837,-0.8405155,0.70589024,0.10862606,0.10155256,-1.709762,-0.6132995,0.7672806,-0.41454256,-0.6879506,matheus
6,-0.8810445,0.18493906,-0.031240195,1.1386435,0.023980405,-0.13045175,1.9676561,-2.0154362,-0.5033321,0.92787683,-0.19457388,-0.29030496,-0.3468957,-1.1317273,-0.27325487,2.1661167,-0.34839082,0.15932512,-0.91259414,0.3103675,-0.044677302,0.5154881,0.26692146,0.43245652,-1.6596771,-0.63079137,1.3708096,-0.9840417,-0.07553063,0.75512314,0.74258363,-0.8654523,0.09742982,1.7281821,1.4200315,-1.3637714,-0.41646525,-0.20291951,2.562646,-0.3573844,0.4996386,-0.091810696,-1.0305052,-0.28615648,0.29143488,-1.1844065,0.27582118,-1.0002337,-0.29236096,1.0241604,-1.3348211,0.22238801,0.6006129,0.9514264,0.45653102,0.70906603,0.27225807,-0.6945839,-0.4569605,-0.09259197,0.93134135,-0.77337074,0.593687,-0.5713309,-0.47778186,1.7475305,0.8647593,0.87691635,-0.53742504,1.0784807,-0.9902581,0.08424492,1.0738195,-1.229206,0.82438046,0.108876616,-0.8004844,-0.034649555,0.50745595,-0.5877229,-0.57625824,0.46277064,0.8330214,0.985711,0.5018547,0.97137964,0.3155176,0.20076264,-0.33396268,0.6619904,-0.84273344,0.17902969,-0.09539588,0.5048213,1.0852964,-1.7879215,-0.42082718,-0.6303957,0.31201252,0.48702383,-0.6570078,1.4448397,-1.8171335,2.291176,2.476537,0.30482352,-0.63790536,1.7252895,-2.4545372,-0.350342,1.8403673,0.8775082,0.48450932,0.22966349,-2.401419,0.4291355,-1.2122325,-0.06444241,-1.2992427,-0.84362006,0.95377475,0.09494768,0.59911644,-1.8234347,-0.9978571,-0.45619714,-0.46871132,-0.7863593,matheus
7,-1.070035,0.3752183,-0.7754639,1.1572944,0.20169583,-1.0163673,0.2786615,-2.0398574,-0.099332735,1.555577,-0.2744775,-0.29428744,-0.6732063,-0.8615782,0.023409866,2.6385756,0.67607343,0.43476707,-0.9744296,0.1534238,0.090231284,0.7580451,0.029503964,0.5002665,-0.31251207,-0.78755146,1.690264,-0.3007541,0.58673394,0.84942895,1.0542988,-1.0046003,1.140858,1.2281778,1.6996635,-0.80937284,-0.0090992,0.3880215,1.8151131,0.65167403,-0.09555705,0.022974608,-1.1366763,0.28873238,-0.10675209,-1.416586,-0.5715662,-0.664227,0.41249156,1.062451,-1.0252707,0.6675879,0.4968219,1.343906,0.71347886,0.93327695,0.49182808,-0.9252858,-0.6508101,-0.36032438,0.93548286,-0.8937686,-0.02164203,-0.6294931,-0.23559609,1.6762676,0.62536377,1.1642084,-0.62289244,0.32029605,-1.3803188,-0.07196334,1.0586588,-1.9173571,1.0387833,-0.26970616,0.4369214,-0.6265647,-0.009087525,-0.8336295,-1.1547264,0.8716203,1.5525846,1.9787204,0.22460008,1.5321847,-0.40491188,0.06801854,-0.26822877,0.94486904,-0.9520337,0.09064663,0.34656045,0.33607247,0.9483725,-2.0792122,-0.4437425,-0.7202396,-0.09716422,0.454305,-0.13286488,2.4162745,-1.841316,1.7376976,2.4483678,0.17259549,-1.1117109,1.9832062,-1.7525904,-0.5746127,1.5614417,0.7234921,0.16134124,0.4523429,-1.839852,0.0062094405,-0.5894288,-0.19359037,-0.73769116,-0.8779154,1.74722,-0.15356994,0.2114391,-2.629908,-0.34200495,-0.65470636,-0.07701111,0.011130109,matheus
8,-1.4212404,0.07078014,0.27977872,1.6282125,-0.21972886,-0.74920875,1.2819515,-1.335683,-0.553276,1.2991261,-0.04782155,-0.93245924,0.25916135,-1.2781143,-0.67036855,2.7782073,0.25344297,-0.10586582,-1.1111412,0.42554122,-0.06733775,0.7683799,-0.07580164,1.3498368,-1.1553227,-0.8088016,1.6898469,0.20117624,-0.831254,0.9612448,0.33652753,-0.51690006,-0.41591558,2.096858,1.4405297,-0.59305185,-0.23260628,-0.90857345,1.8913057,0.6147193,0.17050417,-0.8888294,-0.024473459,0.68657243,0.017755242,-0.98030823,1.4644824,-0.62606204,-1.2948239,0.9866272,-0.85081446,0.63575256,0.30119964,1.9444509,0.039490372,-0.24014041,-0.14674506,-0.46039954,-1.2656924,-0.5603019,-0.084986895,-1.1243101,0.13555816,-1.155117,0.3489266,0.88235295,0.36283016,1.041779,-1.132886,0.04397174,-0.34599355,-0.83793795,1.4817871,-0.5983584,0.3344551,0.9426679,-0.022030622,0.6106144,1.0229119,-0.5718941,0.16740859,0.18506847,1.3109988,1.1480693,0.8143792,1.471418,0.6971048,0.42772746,-0.43593028,1.2758491,-0.44781575,0.15258232,0.31772196,0.30349597,0.94049436,-0.4741784,-0.5002091,-0.72560275,-0.12203163,0.7507173,-0.5865601,2.126311,-1.5144149,0.8821426,0.3558069,-0.30409062,-1.2112533,2.4477391,-1.8335401,-0.9958742,1.0918827,0.6944745,1.5406474,-0.44824937,-1.8646775,-0.10586098,-0.21224394,-0.28277275,-0.8828286,-1.2900541,0.7222936,-0.8811394,0.3446952,-1.7988846,0.066014335,-0.17388144,0.3019318,-0.3227758,matheus
9,-0.64067006,0.50867784,0.24906975,0.73161626,-0.21157162,0.19241172,2.652221,-2.1913064,-1.1297561,1.1804421,-0.43910387,-0.31419152,-0.23593748,-0.7547225,0.10066932,2.2722921,-0.23651445,0.038946263,-0.4096542,0.21506523,-0.4972418,0.8153598,0.046609104,0.88851124,-1.300955,-0.35281134,0.9220892,-0.9394078,-0.14855585,0.8411935,0.998255,-1.403894,-0.47991708,2.2143734,1.7615839,-1.3516854,-0.24338298,0.12549616,2.9373283,-0.074022286,0.16705342,0.07512485,-1.1623042,-0.16308746,0.41036928,-1.1644859,-0.17172965,-0.5515828,0.53358287,0.7118082,-0.9817261,0.07273346,0.68551105,0.85262287,-0.14744681,0.5526598,0.20007856,-0.5947985,-0.4678583,-0.055524625,0.6335275,-0.37939233,0.261774,-0.6262959,-0.55314356,1.5819366,0.8577996,0.303622,-0.17175588,1.6245762,-0.37952903,0.22705528,1.6623254,-1.5207458,0.631699,-0.28205582,-0.67594326,0.2524145,0.5389437,0.2012697,-0.76706505,0.3557312,0.7401276,0.7016698,0.0869175,1.5413365,0.63777155,0.06536582,-0.1379757,1.002439,-0.17945519,0.5285249,-0.5722334,0.5543408,1.3962338,-1.5448098,0.13731335,-0.9702266,0.7327899,1.0238273,-0.430169,1.8426305,-1.7696025,2.4927795,2.1354027,0.43997478,-0.6604716,1.3903713,-2.3249385,-0.834017,1.4322978,0.52841926,0.32173613,0.21571814,-1.8793381,0.38818127,-0.83158755,0.3385528,-1.1600428,-1.0718942,0.9261656,0.10578783,0.52356565,-2.1631906,-1.4652046,-0.37951836,-0.2690814,-1.4635365,matheus
