True,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,target
0,-0.43419656,-0.57313085,0.73367774,-0.993968,-0.4868604,0.70861727,-0.011164013,0.6052237,0.43813422,0.147223,-0.11452752,0.5527119,1.5173961,-0.51672804,-0.56435585,-0.9122582,0.0717839,0.116490155,0.68082637,0.02153186,0.037918314,0.3641947,0.28791356,0.81272036,0.29793635,0.52183926,0.5480472,0.22413865,-0.47499108,-0.5594733,-0.26151803,0.06478493,0.051626444,0.017097801,0.13985376,-0.11854729,-0.59081614,-0.1846487,-0.432285,-0.09329738,-0.1745496,0.40650406,0.55990326,0.404882,0.04658773,-0.40113905,0.2377078,-0.71887183,0.013090275,-0.3984119,-0.80318815,0.53873247,-0.46215853,-0.87031025,-0.12724844,0.25693494,0.59614486,-0.43714222,-0.88398784,-0.79901457,0.727587,0.70188385,-0.057224337,0.5076402,0.02137594,0.41524744,-0.20501569,0.35038522,-0.27756894,0.028793111,0.22334175,0.4467552,0.9002683,-0.3856091,0.79928565,-0.64804083,-1.0505266,-0.60538995,0.11133932,0.1173567,0.54122794,0.16293581,-0.42161986,0.32404286,0.52758867,0.505013,0.6697589,0.0012470186,-0.5019387,0.8185178,-0.09780719,0.2010269,-0.50241554,0.0225805,1.0404978,0.98977196,-0.21761508,0.6199737,-0.15918547,-0.63080907,1.0209513,-0.253476,0.41184786,-0.4078243,-0.27428812,0.13164684,-0.6456431,-0.16248818,0.41246584,-1.4020473,0.15526907,-0.44414628,0.4700133,0.94111353,0.16877131,0.66460085,-0.55815434,0.13819277,1.4077371,0.48620555,0.058870763,0.0017398428,-0.7026327,0.44600305,0.5945087,-0.7008404,0.7707633,-0.13511728,arthur
1,-0.40848392,-1.0565803,0.29284826,-0.9989578,-0.460447,1.4581019,0.19091512,0.63818663,0.7088365,0.33329508,0.4067501,0.72424656,1.633523,-0.49920356,-0.36924827,-0.12581009,0.16930941,-0.9074859,0.6252153,1.3918054,-0.26646772,0.8526066,-0.43232998,1.0312266,0.43881175,0.99746484,0.9741188,0.60813946,-0.10391694,-0.693375,-0.010271691,0.88961077,-0.22047609,-0.14510773,-0.6155273,0.2282528,-1.204644,0.27898854,-1.1478822,0.046210285,-0.12549914,0.06672181,-0.7211914,-0.033754174,-0.50116825,-1.1559472,0.3881794,-0.59408593,-0.14629474,0.09084027,-1.1259819,0.13388917,-0.72199494,-0.51386327,-0.21152474,-0.5469286,0.60203093,0.1460879,-1.6597227,-0.77452826,-0.015331507,0.5290032,-0.035576332,0.6541644,-0.012321334,0.049335077,0.3914308,0.72414345,0.8398024,-0.142343,0.033421073,0.011667892,0.4116792,0.960993,0.5236007,-0.35412586,-1.1434352,-1.245236,0.098143645,1.1983821,-0.0047774445,-0.5055567,-0.24259208,-0.007270446,0.8203234,0.69880587,1.5054729,0.6454942,-0.23863107,0.72534335,-0.06343932,-1.4403579,0.12747265,-0.1669398,1.6143866,0.9760223,-0.56216615,1.6055491,0.018432975,-0.7133938,1.0335317,0.057405308,-0.1386823,-0.22874856,-0.30143204,-0.05892489,0.09888339,-0.4352694,1.201843,-1.6982919,0.31609097,-0.35328895,0.48817384,0.47567156,0.059338074,0.6145315,-0.5986514,0.0047063977,1.3415374,0.46892756,0.54916424,1.1636655,-1.1762749,0.011311926,0.8775951,-0.26266953,0.26784563,0.89629555,arthur
2,-0.8280959,0.388991,-2.108855,-0.07221874,-1.8313812,0.3532203,1.0818588,1.0052553,-0.38996208,-0.5328869,-0.34802487,1.0487435,0.27933747,-0.1054018,0.41969126,0.056179576,0.25176564,1.1058596,0.76834196,-0.5287472,-0.31535184,-2.309775,-0.3278398,-1.2872498,0.56088775,-1.1762928,0.06330767,0.34358472,-3.2884204,-0.61208516,0.21720989,-0.1300758,0.9329723,0.4017701,-1.1612207,-1.7528149,0.053573806,-0.16587868,1.0400352,-1.3103979,-0.6187938,1.1005383,-1.4451901,-0.40616563,0.82547605,-0.6439189,-0.89764893,1.9656163,1.5362629,0.6207634,-0.06785515,1.6070564,0.69639754,0.18241799,3.0312128,1.2617997,-0.39269638,0.09541361,1.5258036,0.47331533,0.753827,1.6430619,0.6353937,0.76707476,3.442173,-0.6336348,-1.4351162,-0.1782219,-2.3579829,0.82284164,-0.23426004,1.863267,-0.3028009,-0.8714299,-0.9888387,-1.216579,-2.1182923,-0.19687663,0.52029955,-0.09606126,-0.79201883,0.53712213,0.15362684,-0.35585392,1.1213733,0.16642448,-2.0592856,-0.3699993,-1.2128029,-0.6156795,0.7649339,0.0036049318,-1.3749197,1.3272108,-0.3762024,-0.3807236,0.7687082,0.2827787,0.17056602,1.0862375,1.2230653,-0.08576423,0.2814831,0.8231168,-1.4800698,0.31322825,-1.3010122,0.8489438,-1.0744206,0.34858885,-1.6450763,0.04496088,0.0664147,-0.077194095,-1.2237339,0.062199607,0.5087733,0.11758404,0.09125795,0.43412837,1.3998319,0.9028841,0.64876354,-0.63583213,-1.743787,-0.6882592,0.26027966,-2.0829043,arthur
3,0.18262054,0.026758209,-2.03573,-0.39193025,-0.95874447,1.5610217,0.29156598,1.0392838,0.14227009,-0.886156,-0.23095196,0.45879778,-0.05037327,0.7452334,-0.7399663,-1.0055546,-0.12630682,0.6055975,0.2348079,0.23903948,-0.40482876,-1.145129,0.746514,-2.148266,1.1685163,-1.1657515,0.95319116,-0.3484157,-3.5744638,0.11088731,-0.34207648,0.84871745,1.3879932,0.057844453,-0.9160082,-1.1955605,0.6057823,-0.068643205,2.1081767,-0.5946647,-0.49077374,0.42413172,-1.7403809,-1.1233102,0.15602687,-1.4643139,-0.8665368,0.44931498,1.1875954,0.67663825,0.4420402,1.4451668,1.7531749,-1.6971925,2.9289937,0.59506994,-0.6192374,-0.952071,1.6130526,0.48398563,1.586319,0.25401956,0.9808433,-0.643861,2.5988872,-1.314094,-1.1741879,0.8769159,-1.8575406,-0.0573386,-1.2214614,1.7037245,-1.0777568,-1.60279,0.26229608,-0.32580194,-1.2863474,-0.3321618,0.9251173,-0.6917708,-0.19920781,1.5261639,0.2412846,1.659484,1.0532242,1.0379469,-1.2593745,-0.6795493,-0.9577898,-0.11381844,-0.0886816,0.19691606,-1.9443562,0.9201864,-0.5578013,0.3145554,0.11355199,-0.52229774,-0.17360236,0.88872844,1.1786541,-0.81330585,-0.324131,-0.61111486,-1.8096999,-0.4227321,-1.3507642,0.5733964,-1.0718881,-0.36415994,-0.47835365,0.11371421,0.04539703,-0.32110092,0.17789061,0.18864977,-0.819198,0.73455274,0.77024496,1.405086,1.0493815,-0.0010726713,0.013849977,0.13931708,-1.5303963,-0.6922365,-0.36530784,-1.1401504,arthur
4,-0.65005195,-0.08293609,-1.4025142,0.39100775,-0.24334067,1.0279766,1.0315864,0.9430092,-0.0077168196,-1.3252772,0.20460105,1.4958048,-0.010536384,-0.101176925,0.13391289,-0.6145821,-0.08115275,2.2146332,-0.14441499,1.3611526,-0.114798866,-1.9240716,0.34392607,-2.1843672,0.32259685,-0.9155284,0.27858153,-0.18774033,-3.7057285,-1.1435108,0.026444618,-0.110927045,0.3494814,-1.3409208,-1.1890489,-0.9597821,0.2545215,-0.6478848,0.98690593,0.272291,-0.77936023,0.2815451,-0.5284759,-0.9044067,1.0453254,-0.62877417,-1.3971847,1.297066,1.5902768,0.55826366,-0.070647076,0.7700996,1.5547048,-0.05250351,2.9404187,0.1431404,-0.45636964,0.27211225,1.3486174,1.0306036,1.0447156,1.2177601,1.4072809,0.09116703,2.674942,-0.8991138,-0.5405069,0.44704288,-1.2189747,0.34084612,-1.7233652,2.3013568,-1.272043,-0.72117597,-0.41532767,-1.3684982,-1.8910111,-0.2280861,0.22427195,0.48699576,-0.71565413,0.5349184,-0.08475541,-0.37974808,0.20568728,0.9662832,-2.189871,0.13989274,-0.6292541,-0.5218375,0.9465844,-0.1003382,-1.3948282,0.7034949,-1.4310596,-0.4190248,0.46836787,-0.7037772,1.1771564,1.4686441,1.0930583,-0.5814874,0.6752113,0.25209823,-1.0116423,-1.1092471,-0.77224076,-0.0045876056,-0.6599023,-0.012163047,-0.5941639,0.42452556,0.5962453,-0.3473907,-0.33861807,0.08143948,-0.5297184,2.2321339,1.334096,1.016282,0.060999937,0.44290742,0.69921196,-0.8446957,-2.1736863,-0.36366573,-0.35558754,-1.0771923,arthur
5,-0.40533894,-0.57433337,-2.0993636,0.703502,-0.8514529,1.1898558,0.8088869,0.73690253,0.82852817,-1.1405596,0.7643399,1.0936644,1.0336078,-0.3814132,-0.109179944,-1.3958322,0.7374531,1.779074,-0.27750155,0.9290897,-0.12744565,-2.0229592,-0.47827914,-1.7517005,0.008858614,-1.4252123,1.2758745,-0.54327315,-3.9167483,-1.1252029,-0.665756,0.32511386,0.31506765,-1.0163056,-0.5698475,-0.30328503,-0.49707982,-0.760235,0.61512125,0.3864555,0.19753657,0.27037868,-0.29569638,-0.34184787,0.82901394,-1.6386614,-0.4242325,1.0004721,1.8360969,-0.28258073,0.07121521,0.6258434,0.3201957,-0.4266137,3.0932357,0.81190944,-0.41771555,0.06622006,0.39495844,0.13989192,0.70631164,1.0134985,1.6625661,-0.31643185,3.0002964,-0.41022372,-1.2603002,0.48725015,-1.8623986,-0.54952073,-1.2271576,2.1119556,-0.4735207,-1.237519,0.15906322,-1.7882029,-1.7579912,-0.6776203,-0.12428428,0.22125839,-0.3857712,0.43892288,0.24760728,0.093228266,0.29435834,1.1205285,-1.9781775,0.14143534,-0.11893581,-0.6696029,0.6123365,0.31249678,-1.0307026,1.1279083,-0.95724106,0.40751144,0.75913745,-0.63546216,0.475353,1.8302463,1.443566,-0.09858073,0.8018338,0.29167962,-0.53079236,-1.0532603,-0.12474665,0.059480358,-0.26790223,-0.7909074,0.12441395,0.22916798,0.541576,-0.07717552,-1.1606382,-0.22983165,-0.6097324,2.6532924,1.9374491,0.9764245,-0.78884256,0.85860205,1.1501836,-0.8692091,-2.1946523,0.7688658,-0.5991323,-1.1341484,arthur
6,-0.25691828,-0.12627122,-1.8253345,0.113603584,-0.26836935,1.0020591,1.0264145,1.0493659,0.082276784,-1.3162463,0.29120922,1.3674636,0.53591084,0.3619514,0.061448302,-0.5219609,-0.17557406,1.5162786,0.003917288,0.9751064,-0.19394043,-1.7751086,-0.4227054,-2.0105414,0.19811067,-1.145636,0.9309622,-0.40601036,-4.020256,-1.316453,-0.03831908,0.6332116,0.40748107,-0.8558252,-1.5630791,-0.67061114,0.11027986,-1.2655122,1.2001832,-0.25356284,-0.310862,0.70530736,-0.48601553,-1.0887216,0.13460618,-1.1920921,-1.1883322,0.7591814,1.6590695,0.7171378,-0.30922568,0.8664858,1.3383299,-0.16303714,3.5620048,-0.28031904,-1.0153733,0.09708901,1.1859926,0.5868188,0.42163786,0.83549803,1.7566723,0.31841633,2.912894,-0.7987529,-0.92910755,0.46321943,-1.4712285,0.74115825,-1.183676,2.4975092,-0.9715375,-0.5992373,-0.6076952,-1.1851201,-2.0107234,-0.17214186,0.66535515,0.3509574,-0.68493676,0.6667671,0.105519205,-0.0074906684,0.81005234,0.91204566,-2.380331,-0.17676935,-0.69478095,-0.5354947,1.2176094,0.074613445,-1.7916319,0.86651,-1.2224241,0.09974672,-0.027764063,-0.27852434,0.9093746,1.2032589,0.87382203,-0.35966593,0.5004501,-0.12883568,-1.101591,-0.98017323,-0.6826043,0.39272258,-1.3721402,-0.14641371,-0.3295452,0.5611888,0.8089762,-0.3232742,-0.3258614,0.26429147,-0.27055788,1.7649009,1.2382392,1.1308807,0.010313977,0.2670172,1.210466,-0.75255513,-2.0939612,-0.5689678,-0.2360431,-1.1664972,arthur
7,-0.47853968,-0.11088695,-1.5078667,0.31373224,-0.43972173,1.2708693,1.348658,0.47124666,0.5414327,-1.4747647,-0.3425545,1.414937,0.03591218,0.30800632,0.12378152,-1.0747458,-0.0421198,2.341864,0.21164693,0.71018535,-0.053039927,-1.7965163,-0.09111417,-1.8596985,0.6595295,-0.3908597,0.3790798,-0.92729926,-3.3298016,-1.1567464,0.43975896,-0.013375815,0.086626396,-0.5671828,-0.61197275,-0.8619438,-0.3219275,-0.9698165,1.0708613,0.19639225,-0.48333973,0.2109901,-0.5047108,-0.84379035,1.1284984,-0.58210516,-1.3247926,1.121856,1.2773598,-0.010608617,-0.3327616,0.75995135,1.0211593,0.13683501,2.8938904,0.1983322,-0.30699936,-0.0011064559,0.8248367,0.45078674,1.005947,1.135045,1.4264942,-0.17615326,2.5655465,-0.72505856,-0.62579733,0.270706,-1.4983176,0.41520944,-0.5733986,2.2525065,-0.7183499,-0.93178844,-0.5016671,-1.9497709,-1.4365401,-0.49751896,0.31080657,0.4766401,-0.40656507,0.3073056,-0.009694144,-0.4873855,0.1449275,0.9211137,-2.1765099,-0.24133602,-0.0494018,-0.57503396,0.7100323,-0.06311446,-1.7621355,0.60437524,-1.2693355,0.032488912,0.5825763,-0.10413135,1.1572928,1.5412694,1.2868701,-0.032951646,0.71853274,0.45519513,-0.80238456,-0.52845365,-0.8442047,-0.14248149,-0.7565333,-0.62217486,-0.8662629,0.68229353,0.6864574,-0.88503873,-0.18681727,0.06679073,-0.6469523,2.316843,1.6040208,0.6652646,-0.20064984,0.89053404,1.3184868,-0.7536815,-1.875357,0.063543014,-0.17983262,-1.0581696,arthur
8,-0.5320318,-0.8309952,-1.755781,0.08923983,-0.7312657,1.2204353,0.6594134,0.94103503,0.24027538,-1.1259477,0.066547416,1.3871968,0.026032642,-0.09445993,-0.051492095,-0.6319002,0.14382574,1.7342912,-0.1800105,1.0862464,0.06901938,-2.1924462,0.04197526,-1.7917893,0.33090988,-1.3244048,1.161826,-0.6222174,-3.9897103,-0.88885874,0.015648603,0.645087,0.65426636,-0.77781224,-1.5836171,-0.9137004,0.16074207,-1.0486716,0.92585903,-0.34163928,-0.4650757,0.16613792,-0.588225,-0.5959557,0.5909648,-1.1591824,-0.8855632,0.9404048,1.384989,0.6256254,0.081635326,0.40177095,1.5095417,-0.36427325,3.6389008,-0.12349273,-1.3218106,0.16533282,1.2633698,0.57292956,0.69229215,0.89841866,1.5014768,0.0741064,2.9629908,-0.6336354,-1.0856643,0.5626702,-1.766548,0.45925063,-1.3651426,1.9772437,-0.71619177,-1.0461779,-0.40613487,-1.3909087,-1.9496002,-0.32613218,0.49708742,0.3000123,-1.0364206,0.45242053,0.02928393,0.4645067,0.58830917,0.97982836,-2.150757,-0.37025237,-0.48858303,-0.7987018,1.1323516,-0.27974665,-2.064284,0.8409103,-0.97940445,-0.032397915,0.43908742,-0.55882245,0.59467936,1.3755219,1.2493331,-0.34060052,0.63263893,0.22168134,-1.4403456,-1.1345638,-0.75223845,0.04052384,-0.9342152,-0.0631012,-0.5564607,0.28633404,0.9728352,-0.5707662,-0.6422585,-0.096059695,-0.62471604,1.9557,0.88742816,0.6980199,0.16887599,0.17452548,1.1506975,-0.5851134,-2.2604258,-0.5418919,-0.08641402,-1.0103621,arthur
9,0.35536247,0.43472728,-1.9886537,0.5625162,-1.2343479,1.5291636,1.2715303,1.201539,0.1015623,-0.8339917,-1.1500807,0.45988005,1.2050476,0.4465426,0.77362955,1.1250592,0.19398947,-0.54898566,0.52841896,-0.14965871,-0.78204215,-1.1995664,-0.27536577,-1.2793714,0.7110099,-0.9459744,0.6054605,0.42040554,-3.3546126,0.05486355,-0.087570995,-0.7929848,0.54720885,-0.26182103,-0.80715656,-1.0341951,-0.46956235,-0.12519512,0.5694896,-0.29470223,-0.12751384,1.2014124,-1.139575,-0.9516299,0.7113072,-0.45326978,0.08819935,1.4664792,0.61187446,0.4764371,-0.58391804,1.77425,0.645423,0.10467505,2.3527873,0.49118283,0.84305584,0.36191657,1.4721314,0.8051982,0.81140655,1.4830875,1.6304126,1.1073369,2.873312,-1.8371274,-0.71298736,-0.1981089,-2.1972716,0.79033864,0.31248194,1.8905468,-1.052359,-0.59179527,-0.6576826,-0.44563645,-2.0854635,0.6125322,0.9235663,-0.276308,-0.2935823,0.3283552,1.1619927,-0.2869534,1.1382701,-0.9028028,-0.6354838,-0.7916049,-1.2929308,-1.6360669,0.6590472,-0.99519026,-0.56495404,0.7338352,-0.7859782,0.32066935,0.017333698,0.35068998,-0.20099017,1.9134405,0.9807125,0.2679621,-0.69502836,1.0241953,-1.1957905,-0.3997184,-2.2933886,1.1062782,-0.84292865,0.83107984,-1.58081,0.21109644,0.74358857,0.14456557,-1.800804,-0.5951829,-0.07149854,0.4845019,0.059291556,-0.48809588,2.5356493,0.67309797,0.39268857,-0.7062448,-0.63599,-1.0586356,-0.2641213,-2.139765,arthur
