True,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,target
0,-0.60026467,0.016068622,-1.7445948,0.289775,-0.27085933,1.086373,0.43766275,0.100934654,0.2730845,-1.3794603,-0.44185603,1.7678329,0.2903456,0.37958464,0.8221202,-0.31528383,-0.012769133,2.541713,0.46190354,0.78001475,-0.32715625,-1.5142086,-0.45487818,-1.8111659,0.25241438,-0.41680694,0.11209279,-0.2410247,-3.4169657,-1.2852895,0.73767185,-0.05910455,0.2283405,-0.2613614,-1.443864,-0.5094118,0.08514121,-1.1037816,0.71212256,-0.35751078,-0.32157728,0.52138007,-0.18548709,-0.7603195,0.49467584,-0.55984235,-0.97598463,0.5521643,1.3656275,0.4396943,-0.047679514,0.24907877,0.9788801,0.24013746,3.7359033,-0.38707924,-0.760804,0.1890886,1.3919743,0.4135355,0.79876715,1.1027217,1.6568738,0.34765187,2.6094677,-0.776002,-0.67213553,-0.107734546,-1.4992841,0.5222783,-0.70777285,1.9900336,-0.69801366,-0.72601646,-0.86568075,-0.87705946,-1.9829637,-0.42717066,0.7254351,0.42199063,-0.7919334,0.46568117,0.010405369,0.33280146,0.11452232,0.7279402,-2.2889175,0.7078754,-0.1175017,-0.87289864,1.2224989,-0.37381378,-1.643481,0.52150106,-1.0513521,-0.49983662,0.16688879,-0.14701301,1.4008663,1.3260564,1.2145584,-0.0901717,0.21461818,0.18873565,-0.7098344,-0.82952833,-1.0878912,0.3858864,-0.92154413,-0.48783994,-0.9821211,0.703418,0.36183736,-0.34479728,-0.17920217,-0.18911654,-0.38217953,1.5968761,1.3765084,0.8630132,-0.2347496,0.75703037,1.4935632,-0.90998054,-1.4770385,-0.62384593,0.49307686,-1.3122326,arthur
1,-0.25471705,0.53035426,-2.2825592,-0.9381808,-0.41613877,0.5302013,0.38370508,1.0293087,0.6234991,-1.4551477,-0.73759556,0.66941464,-0.5171505,0.58893454,0.2231265,-0.37271678,-0.050316587,0.9414418,-0.0050926507,-0.9529158,0.5679364,-1.7937,-0.12789944,-2.1179042,0.531494,-0.5716225,0.63105714,-0.4311787,-3.0115135,-0.24462782,-1.494145,1.8070598,1.4053009,-0.031715583,-0.33425775,-0.051415235,-0.44234648,-0.8683302,0.3659953,-0.9810612,0.88133216,1.08371,-1.8684015,-1.014298,-0.6118329,-1.3867352,0.27688605,0.7551185,-0.040138297,1.7884825,-0.9205136,1.5892841,1.0170399,-0.26202932,3.4976366,0.51568687,-0.84512436,-0.47360173,0.8820047,0.6951163,0.6157894,-0.9431874,1.0660175,0.9894737,3.5775547,-0.84970564,-1.3306606,1.7961488,-0.014998648,0.30436993,-0.60760325,1.9367969,-1.3490651,-0.9082859,-0.008919772,-1.3328134,-1.075147,-1.1642424,0.28601608,-1.3032383,-0.81252885,0.59960735,0.91257554,0.53391504,1.8902599,0.7674678,-0.8596319,-1.102263,-0.7364851,0.26940998,-0.25407633,0.025916057,-0.6573604,-0.007267017,-1.1277149,0.8852395,-0.36093932,0.1999001,-0.93400496,1.4234995,0.068412766,0.66512054,-0.44071674,-0.18161558,-1.3540694,-1.0445664,-1.3639683,0.8940202,-0.7871143,0.679625,-1.3235396,0.8010734,0.11866526,0.65929663,-0.66242665,-0.42471534,0.03594643,0.46538445,1.703154,0.37471452,1.3186105,0.87750924,1.1415436,-0.69919103,-1.4297402,-0.6698737,-0.16417573,0.46938303,arthur
2,0.14030123,0.64104044,-2.1484249,0.3311342,-0.26665232,0.80725265,0.29175633,0.33105934,0.5101216,-0.3795916,-0.017524883,1.5718296,0.7104542,0.26686567,0.8974545,-0.71148235,0.48108447,1.5871531,0.9197784,0.46041358,-0.37785655,-1.2865635,-1.183638,-1.6032622,0.083308,-0.7072898,0.117417276,0.09450482,-3.2400105,-1.9294828,0.483117,0.016972002,-0.2788673,-0.4266558,-1.3531352,-0.72638106,0.09970111,-0.698299,1.4505129,-1.162235,-0.4558638,0.6959621,-0.2540289,-1.1309155,-0.037227005,-0.2626042,-0.46501356,-0.16321574,2.003428,0.93371975,-1.1417723,1.0882008,0.25309998,-0.04984329,3.523341,-0.32035264,-1.0881487,-0.024842167,1.8624539,0.6137488,0.44134933,0.9278227,2.2667766,0.042376615,2.7749574,-0.286004,-1.1281954,0.12408115,-1.4056722,0.94329,-0.76418775,1.4987465,-1.0125496,-1.1495581,-0.685166,-0.63145506,-2.0751173,-0.99229944,0.5886647,0.5445168,-0.06966062,-0.009597208,0.5842327,0.23866758,0.37502348,0.8490791,-3.218238,0.7459845,-0.51385725,-1.2207537,1.4596341,-0.5229513,-1.3861144,0.27638555,-0.57287735,-0.61466473,-0.5531511,0.5291946,1.1397316,1.232977,0.66960454,0.4711674,0.34338838,-0.037454993,-0.8552285,0.17124738,-0.49633962,0.9115406,-1.6333888,-0.36168438,-0.53553444,0.6781847,-0.48670533,-0.116829604,-0.2539211,-0.3145793,-0.6427362,1.113065,1.4250988,1.3964747,-0.15334126,0.8076055,1.4751505,-0.8917975,-1.5512848,-0.82443434,0.8660212,-1.1451954,arthur
3,-0.65565014,0.014862463,-1.8950412,0.4275439,-0.74840736,0.3560633,1.6949074,0.9930433,0.015616961,-1.0348778,-0.92768115,0.016354943,-1.0290763,0.79119825,0.10648255,-0.767165,-0.7175442,2.0568628,-0.24480477,-0.26786673,0.6582726,-1.3854778,0.53110254,-1.1485716,0.47128403,-1.2755145,-0.07762648,-0.9221933,-3.4851706,-0.47473046,-0.3163524,1.2546382,1.2142855,0.55396044,-0.043182775,-1.4439061,0.31569874,-1.5100243,1.4601161,-0.78596854,-0.27135184,0.77005154,-1.2552735,-1.9884319,0.26449966,-1.2897388,-0.14089009,1.4520006,-0.42744172,2.014241,0.42171264,0.82516015,1.0592859,-0.39347702,2.693212,1.3939072,-0.8824313,-0.41633242,0.74715394,0.543516,1.1195393,-0.6853913,0.9902189,-0.40719914,2.949069,-1.7103823,-0.9154562,1.8674318,-1.8180146,-0.12284718,-0.610562,1.610906,0.183824,-1.1547331,-0.49816507,-1.9198822,-0.41988862,-0.6428854,-0.5932278,-0.7430478,-1.1860859,0.48680136,-0.15637977,0.48873815,0.78651214,1.1433545,-0.29382676,-1.1875075,0.4326363,0.22843648,-0.3539209,0.9690725,-1.6185175,1.2075866,-1.1500382,-0.5848237,0.38316637,-0.59559363,0.10014734,1.5843018,0.7119306,0.76279277,0.3124559,-1.027187,-0.70992684,-2.1514003,-1.3252313,0.181367,-0.64689225,0.26956877,-1.0778055,0.4675653,0.8323388,-0.040236264,-0.5510704,-0.49853277,0.5557798,1.4488653,0.36014524,1.2213413,-0.7264429,0.765295,0.9243968,0.3061043,-2.0717206,0.59166867,-1.0792094,-0.19096367,arthur
4,-0.41443467,-0.10637978,-2.6038022,0.58745134,-0.27374026,1.1957905,0.3535378,0.55972606,0.31017938,-1.0428696,-0.17785856,1.4754639,0.4887799,0.2970805,0.5698657,-1.0760754,0.4638201,2.3849585,0.55630517,0.7272731,-0.42363572,-1.6033349,-0.52450585,-1.4371927,0.39046603,-0.11444474,0.33200788,-0.38948637,-3.2435865,-1.0373116,0.738788,0.35960394,-0.22297269,-0.24605852,-1.2014909,-0.97729266,0.2849239,-0.9446724,1.058511,-0.5352044,0.02712842,0.34008303,0.4200455,-0.52180815,0.4660565,-0.6175084,-0.5299094,0.037084024,1.3922704,0.38208818,-0.30623758,0.65575063,0.9470882,0.2231361,3.0214565,0.13399428,-0.5403872,-0.10565521,0.9148664,0.06801506,0.58109564,1.0786994,2.130089,0.15577209,2.4069655,-0.8105033,-0.8452163,-0.47729027,-1.7762333,0.4084158,0.17145263,2.1999748,-0.5578583,-0.44044334,-0.7227852,-1.5398822,-1.399533,-0.75373185,0.56039304,0.50279903,-0.3646125,0.37835974,0.30054083,0.27635708,0.11969939,1.0162388,-2.559012,0.3203078,0.051803388,-1.0259427,0.711829,-0.8328124,-2.2203114,1.04286,-0.7464689,-0.53815466,0.58011705,-0.053610794,0.71480364,0.8050485,1.4457041,-0.07005577,0.81740177,0.43118042,-0.88295597,-0.2970119,-0.6933664,-0.2066595,-0.8031573,-0.2995092,-0.71128047,1.0112032,0.58142924,-0.14263593,-0.1980083,-0.96784496,-0.8121513,1.3956188,1.4349064,0.58730364,-0.3521567,0.9436164,1.7897549,-0.57094157,-2.3330953,-0.05416133,0.7941406,-1.3015038,arthur
5,-0.42022336,0.7366184,-1.8765322,0.65209556,-0.7324847,1.3330933,0.6767163,0.47152123,-0.21102235,-1.1148026,-0.08946977,1.6708977,0.39677614,0.77631843,1.0967549,-0.79409283,0.38865104,1.9483689,0.21399966,0.66579485,-1.5578705,-1.7807802,0.3713291,-1.2545799,0.2942247,-1.5312258,-0.111545,-0.14212354,-2.966519,-1.4171278,0.7624551,-1.0884273,0.46944818,-0.7599532,-1.1421499,-1.4840797,0.31788802,0.041728746,1.2827823,0.12728071,-0.7814066,0.36521465,-0.32663494,-0.45710906,0.80703956,-0.69236577,-1.0394754,0.5381861,1.7431775,0.18157724,0.0069848187,0.38916332,1.6404394,0.3107533,2.309847,0.72230864,0.37034544,0.15529248,0.5022069,0.83891344,1.0284557,1.8360662,1.3077443,0.075225845,2.279057,-1.2559905,-0.28372952,-0.42145643,-1.4960009,-0.042110234,-1.4042063,2.8097548,-1.187996,-0.87925917,-0.76070845,-0.87399065,-1.820511,-0.6317542,0.627376,0.16899176,-0.10452128,0.8092991,0.042597692,-0.39348233,-0.027337678,0.6909248,-1.7370762,0.513363,-0.30698222,-0.9422424,0.75860363,-0.49457064,-1.4571809,0.8467407,-0.84051245,-0.42035508,0.18190013,-0.5308108,1.3050189,1.093703,1.1320944,-0.049261093,0.48233774,0.6537452,0.08789504,-0.720578,-1.3686113,-0.22891968,-0.41277495,-0.82625395,-1.136721,1.1207838,-0.3136369,-0.31972834,-1.5283827,-0.35420766,-0.83600223,1.7702509,1.1021152,1.2383226,-0.6458222,0.63262427,1.1300305,-0.6983446,-1.463324,0.07246146,-0.04351107,-1.8224859,arthur
6,0.119602695,1.8504828,-1.9746277,0.59046304,0.04693039,0.9709032,1.4117613,0.7315267,0.74953055,-1.0366901,0.11496646,0.8911092,-0.657939,-0.030299962,-0.23861492,-0.74733156,0.5902642,1.882483,0.23401791,0.3005008,-0.67939854,-0.68637604,-1.2979497,-2.0930495,-1.0552442,-1.6322958,-0.797842,-0.53837913,-2.976699,-1.2574291,0.69221604,-0.51025164,1.2424204,-0.5338671,-0.19992752,-0.56124437,0.1465235,-1.2739108,2.0230954,-0.47860458,-0.55191517,0.9781684,-1.2224967,-1.0420042,0.7676221,-0.87650573,-1.2296712,1.3787605,0.87954426,1.4131869,-0.78266376,1.0767931,0.23275757,0.75945973,3.3331437,0.44412562,-0.9918922,-0.48722303,0.7505187,-0.13672295,0.09802882,0.16199669,2.0958006,-0.12145761,2.8268964,0.49458188,-1.6188122,1.6741557,-1.075323,-0.46003363,-1.5207103,1.3783896,-0.99644226,-1.3489442,-0.8845455,-0.33796993,-2.2975633,-1.0927789,1.3789593,0.39061946,0.3603117,0.49570173,-0.057466872,-0.7402453,0.865711,0.45010766,-2.6398206,1.295372,-0.49625322,0.44359916,0.21614155,1.7595817,-0.86911,0.81350946,-1.7625955,-0.91497856,-0.7900135,-0.37930214,0.18099725,1.8544086,0.2799592,0.93118423,-0.7408761,-0.0069086216,-0.9626021,-0.41956133,-0.68556315,0.18522184,-2.02354,-0.5523684,-0.5871497,0.92943347,-0.19485465,-0.35642993,-1.3177568,0.32021433,-0.36541876,0.60615873,2.3720772,1.7054263,-1.6293938,1.1951988,1.7283218,-1.2049484,-1.1387503,0.02942387,0.31944877,-0.7158992,arthur
7,-0.42009225,-0.5582255,-2.4915833,1.0978303,-0.4349396,0.71874946,0.7264938,0.5367854,0.032773875,-0.38715997,-0.8295941,1.1565753,0.90998775,0.08226812,0.87011683,-0.38485998,1.0782648,1.9069412,0.6755662,0.8736473,-0.12126793,-1.934002,-0.26501018,-1.2758149,0.5169784,0.1791963,0.91562164,-0.09768298,-2.7039921,-1.4219522,0.768473,0.1453429,0.52956814,-0.63491315,-1.096498,-0.87148285,-0.25737602,-0.69494563,1.1223838,-0.7207407,-0.46411037,0.5577215,-0.17609385,-0.8183559,0.85096943,0.23287067,-0.85757285,0.14706369,0.5669538,-0.3084146,-0.21724974,0.8876757,0.17948005,0.48578736,3.3799913,0.35227218,-0.3337412,0.4952159,1.5129648,-0.079939716,0.89633256,1.1341355,2.0260777,-0.00037756935,2.0144975,-1.3425949,-0.6062906,-0.8977146,-1.6910671,0.2886126,-0.087663986,1.7167687,-1.0168711,-0.6832486,-0.124562666,-1.1174664,-1.6367052,-0.428316,0.8557864,0.17107503,-0.16265637,0.4991453,0.14853354,-0.63546866,-0.1619024,0.8565296,-2.5457687,0.0010995269,-0.29945594,-1.6356323,0.4171938,-0.6771372,-1.7754254,1.1656762,-0.8667373,-1.0310972,0.4533556,-0.4062097,0.83507377,1.4027952,0.87694734,0.80347586,0.59995055,0.49528036,-0.7240065,-0.3919592,-0.8475141,-0.025945783,-0.92003316,0.18304424,-1.3379129,1.3144217,0.23249142,-0.6665005,-0.8854906,-0.31606275,-0.9725181,1.2291014,0.5373746,0.16409957,0.13008429,1.3965985,1.6366098,-1.033466,-1.736006,0.20528832,0.9081493,-1.5703704,arthur
8,-0.13288699,0.27764285,-2.0584092,-0.6282607,-0.7540982,1.4616361,0.31657928,0.93688965,0.63017005,-1.4633521,-0.7461063,0.786653,-0.81388944,0.66295147,-0.4250351,-1.10652,-0.23052868,1.1649202,0.3653933,-0.14967668,0.00776875,-1.6295768,0.14817035,-2.006933,0.48906925,-1.2739323,0.44005167,-0.5509854,-3.8843498,0.26627532,-0.68605995,0.9783154,1.2128686,0.1651623,-0.98627394,-0.5163823,0.35445654,-1.0824602,1.8400147,-0.9709873,0.24950224,0.6168113,-2.0411696,-1.1137381,0.090874985,-1.1055415,-0.7708061,0.92784894,0.48901445,1.2186962,0.13435042,1.058298,1.6893028,-1.3020604,3.1262822,1.0784385,-0.62243325,-1.2255617,1.6325394,0.63937175,1.0877421,0.13868813,0.8872162,0.4232,3.7794101,-0.84531087,-1.0525578,1.3924682,-1.4867941,0.3641644,-0.78937656,2.4173522,-0.9537389,-1.1930599,-0.09451991,-0.78680915,-1.2657949,-0.729329,0.25067526,-0.517969,-1.1677451,1.0575923,0.47695974,1.2010473,1.7700304,0.22333324,-1.0296798,-0.6012281,-1.2326669,0.10321294,0.21863417,0.43636674,-2.0973668,0.8825838,-1.183991,-0.2304947,0.5234041,-0.16820264,-0.4412128,1.3125325,0.97543746,-0.47325674,-0.39793485,-0.36449844,-2.028034,-0.6741866,-1.4363154,0.25674444,-0.8806888,-0.07585436,-0.68796986,0.14892298,0.17941186,0.071225666,0.09411488,0.16356519,0.16132347,1.3854626,1.3230076,1.4385835,1.2018123,0.623145,1.0303961,-0.34998563,-1.8205239,-1.288023,-0.35684043,-0.57954675,arthur
9,-0.75647235,-0.08492981,-2.0967133,0.111074515,-0.3554948,1.0922852,0.21637662,0.33232388,-0.108074054,-1.3135824,-0.519489,1.8251065,-0.102430224,0.2779658,0.9961107,-0.5509208,0.23936336,2.738934,0.5967633,0.48243782,-1.0844331,-1.4026555,-0.25875187,-1.9023397,0.43365806,-0.3220715,0.09820602,-0.20885998,-3.2822065,-0.7247775,0.5850197,-0.20341574,0.42363346,-0.18388501,-1.262386,-0.37648487,0.43001315,-0.7709734,0.66646296,-0.46773645,-0.08729184,0.5606846,-0.59107375,-0.3301525,0.7504094,-1.0194972,-1.0529505,0.57927394,1.484175,0.6688782,0.16885504,0.18375808,1.387557,0.22034934,3.094878,0.08699472,-0.6190336,-0.28640476,1.0227541,0.38178656,0.9978053,0.834423,1.4418935,0.4541723,2.8023415,-0.7029884,-0.74753445,-0.16653574,-1.5054561,0.5128027,-0.49697208,2.2638216,-0.66830754,-0.8656682,-0.15077633,-1.1969963,-1.7107049,-0.42152113,0.645805,0.7452074,-1.286765,0.94607687,-0.20073113,0.52763164,0.3161031,0.9049038,-2.08265,0.6047414,-0.08461612,-0.34466565,0.7489077,-0.31515518,-1.9919493,0.6886748,-1.0829394,-0.8103737,0.5006648,-0.33362696,1.0784585,1.2622745,1.5836861,-0.07719725,0.31725284,0.3789997,-0.5871077,-0.43425858,-1.3335979,-0.080013216,-0.57338595,-0.49219027,-1.0896181,0.96802855,0.08913483,-0.027462212,0.05993937,-0.51393926,-0.5667907,1.3356332,1.5070595,0.84302247,0.13096431,0.54134905,1.3069265,-0.7973423,-1.9506633,-0.5557395,0.41634074,-1.065457,arthur
